chi,dx,min_dt
6.0,0.04,3.669281986183278e-11
6.0,0.05,8.784002949667155e-11
6.0,0.08,6.709450005529125e-10
6.0,0.1,1.3960558976409307e-9
6.0,0.2,2.240552727973388e-8
7.0,0.04,3.347778630821144e-11
7.0,0.05,7.725198646286831e-11
7.0,0.08,5.236976899778228e-10
7.0,0.1,1.2669872135913684e-9
7.0,0.2,2.542051348816632e-8
8.0,0.04,3.504255936399426e-11
8.0,0.05,6.895967204650366e-11
8.0,0.08,5.092940845029546e-10
8.0,0.1,1.0349595394783774e-9
8.0,0.2,2.443108627202848e-8
9.0,0.04,2.419183466551157e-11
9.0,0.05,6.784899324958934e-11
9.0,0.08,4.590572026228664e-10
9.0,0.1,9.026956543372297e-10
9.0,0.2,1.524963004537516e-8
10.0,0.04,2.4890435589545268e-11
10.0,0.05,5.053257957822409e-11
10.0,0.08,3.9783958160771624e-10
10.0,0.1,9.735705691360949e-10
10.0,0.2,1.4487214767327125e-8
11.0,0.04,2.215355126004055e-11
11.0,0.05,5.617082707327748e-11
11.0,0.08,3.1829319713440335e-10
11.0,0.1,9.055033698795153e-10
11.0,0.2,1.3289138129882269e-8
12.0,0.04,2.163879194182254e-11
12.0,0.05,4.479160925049345e-11
12.0,0.08,3.100843838506675e-10
12.0,0.1,7.892463324895365e-10
12.0,0.2,1.3984278167127248e-8
13.0,0.04,1.7726996446445976e-11
13.0,0.05,4.3469513051053474e-11
13.0,0.08,2.5759864085325853e-10
13.0,0.1,6.485781350581966e-10
13.0,0.2,1.374512278251288e-8
14.0,0.04,1.6669882825122625e-11
14.0,0.05,4.1299466563775226e-11
14.0,0.08,2.676602315177109e-10
14.0,0.1,6.413987344854581e-10
14.0,0.2,1.049856828069066e-8
15.0,0.04,1.4942757475787714e-11
15.0,0.05,3.641160730529243e-11
15.0,0.08,2.817775640758419e-10
15.0,0.1,6.463735876088554e-10
15.0,0.2,9.469518905025675e-9
6.0,0.16,1.367310792454986e-8
7.0,0.16,8.035355889695502e-9
8.0,0.16,7.442875563758294e-9
9.0,0.16,6.83960092956325e-9
10.0,0.16,5.6840033939956565e-9
11.0,0.16,4.994139440424906e-9
12.0,0.16,5.551667569245587e-9
13.0,0.16,4.36511359135268e-9
14.0,0.16,3.728862629703826e-9
15.0,0.16,3.985540445903026e-9
16.0,0.04,1.3917120132209384e-11
16.0,0.05,3.513610147086702e-11
16.0,0.08,2.6162503137675253e-10
16.0,0.1,4.956832982180838e-10
16.0,0.16,4.040025966921988e-9
16.0,0.2,9.305259254099891e-9
17.0,0.04,1.355533292046093e-11
17.0,0.05,3.5483535671198565e-11
17.0,0.08,2.2904522573953607e-10
17.0,0.16,3.4418995529690425e-9
18.0,0.04,1.3779289632708463e-11
17.0,0.1,5.982514582928508e-10
18.0,0.05,3.0620606208608366e-11
18.0,0.08,2.0130636890583856e-10
6.0,0.025,6.18487344179792e-12
7.0,0.025,5.2097108481405005e-12
8.0,0.025,4.308395626104289e-12
9.0,0.025,4.056979089799318e-12
10.0,0.025,3.5274882245723506e-12
11.0,0.025,3.5131385483170684e-12
12.0,0.025,2.8913846051928553e-12
13.0,0.025,2.538888136647381e-12
14.0,0.025,2.5529754318215304e-12
15.0,0.025,2.4915999349987657e-12
16.0,0.025,2.3243198115633753e-12
17.0,0.025,2.034011181213596e-12
18.0,0.025,2.0352030810106916e-12
6.0,0.02,2.346451622691472e-12
7.0,0.02,2.1451522031163004e-12
8.0,0.02,1.8924931519696184e-12
9.0,0.02,1.5484111469592042e-12
10.0,0.02,1.4586897677223008e-12
11.0,0.02,1.2832661472871526e-12
12.0,0.02,1.2482373815985509e-12
13.0,0.02,1.2091109653242301e-12
14.0,0.02,1.0023364165609563e-12
15.0,0.02,9.826855406617157e-13
16.0,0.02,8.011691271145041e-13
17.0,0.02,9.273653354513532e-13
