chi,dx,largest_stable_dt
8.0,0.05,0.25
8.0,0.08,0.25
8.0,0.1,0.25
8.0,0.2,0.25
12.0,0.05,0.0625
12.0,0.08,0.03125
12.0,0.1,0.03125
12.0,0.2,NaN
16.0,0.05,0.015625
16.0,0.08,NaN
16.0,0.1,NaN
16.0,0.2,NaN
20.0,0.05,0.00390625
20.0,0.08,NaN
20.0,0.1,NaN
20.0,0.2,NaN
10.0,0.05,0.125
10.0,0.08,0.125
10.0,0.1,0.125
10.0,0.2,0.0625
14.0,0.05,0.03125
14.0,0.08,0.015625
14.0,0.1,0.015625
14.0,0.2,NaN
18.0,0.05,0.0078125
18.0,0.08,NaN
18.0,0.1,NaN
18.0,0.2,NaN
8.0,0.025,0.25
8.0,0.04,0.25
10.0,0.025,0.125
10.0,0.04,0.125
12.0,0.025,0.0625
12.0,0.04,0.0625
14.0,0.025,0.03125
14.0,0.04,0.03125
16.0,0.025,0.015625
16.0,0.04,0.015625
18.0,0.025,0.0078125
18.0,0.04,0.0078125
20.0,0.025,0.00390625
20.0,0.04,0.00390625
6.0,0.025,0.25
6.0,0.04,0.25
6.0,0.05,0.25
6.0,0.08,0.25
6.0,0.1,0.25
6.0,0.2,0.25
7.0,0.05,0.25
7.0,0.08,0.25
7.0,0.1,0.25
7.0,0.2,0.25
9.0,0.05,0.125
9.0,0.08,0.125
9.0,0.1,0.125
9.0,0.2,0.125
11.0,0.05,0.0625
11.0,0.08,0.0625
11.0,0.1,0.0625
11.0,0.2,NaN
13.0,0.05,0.03125
13.0,0.08,0.03125
13.0,0.1,0.015625
13.0,0.2,NaN
15.0,0.05,0.015625
15.0,0.08,0.015625
15.0,0.1,NaN
15.0,0.2,NaN
17.0,0.05,0.0078125
17.0,0.08,NaN
17.0,0.1,NaN
17.0,0.2,NaN
19.0,0.05,0.00390625
19.0,0.08,NaN
19.0,0.1,NaN
19.0,0.2,NaN
7.0,0.025,0.25
7.0,0.04,0.25
9.0,0.025,0.125
9.0,0.04,0.25
11.0,0.025,0.0625
11.0,0.04,0.0625
13.0,0.025,0.03125
13.0,0.04,0.03125
15.0,0.025,0.015625
15.0,0.04,0.015625
17.0,0.025,0.015625
17.0,0.04,0.0078125
19.0,0.025,0.0078125
19.0,0.04,0.00390625
6.0,0.02,0.25
7.0,0.02,0.25
8.0,0.02,0.25
9.0,0.02,0.25
10.0,0.02,0.125
11.0,0.02,0.0625
12.0,0.02,0.0625
13.0,0.02,0.03125
14.0,0.02,0.03125
15.0,0.02,0.015625
16.0,0.02,0.015625
17.0,0.02,0.015625
18.0,0.02,0.0078125
19.0,0.02,0.0078125
20.0,0.02,0.0078125
