chi,dx,largest_stable_dt
8.0,0.05,0.25
8.0,0.08,0.25
8.0,0.1,0.25
8.0,0.2,0.25
12.0,0.05,0.25
12.0,0.08,0.25
12.0,0.1,0.25
12.0,0.2,0.25
16.0,0.05,0.25
16.0,0.08,0.25
16.0,0.1,0.25
16.0,0.2,0.25
20.0,0.05,0.25
20.0,0.08,0.25
20.0,0.1,0.25
20.0,0.2,0.25
10.0,0.05,0.25
10.0,0.08,0.25
10.0,0.1,0.25
10.0,0.2,0.25
14.0,0.05,0.25
14.0,0.08,0.25
14.0,0.1,0.25
14.0,0.2,0.25
18.0,0.05,0.25
18.0,0.08,0.25
18.0,0.1,0.25
18.0,0.2,0.25
8.0,0.025,0.25
8.0,0.04,0.25
10.0,0.025,0.25
10.0,0.04,0.25
12.0,0.025,0.25
12.0,0.04,0.25
14.0,0.025,0.25
14.0,0.04,0.25
16.0,0.025,0.25
16.0,0.04,0.25
18.0,0.025,0.25
18.0,0.04,0.25
20.0,0.025,0.25
20.0,0.04,0.25
6.0,0.025,0.25
6.0,0.04,0.25
6.0,0.05,0.25
6.0,0.08,0.25
6.0,0.1,0.25
6.0,0.2,0.25
7.0,0.05,0.25
7.0,0.08,0.25
7.0,0.1,0.25
7.0,0.2,0.25
9.0,0.05,0.25
9.0,0.08,0.25
9.0,0.1,0.25
9.0,0.2,0.25
11.0,0.05,0.25
11.0,0.08,0.25
11.0,0.1,0.25
11.0,0.2,0.25
13.0,0.05,0.25
13.0,0.08,0.25
13.0,0.1,0.25
13.0,0.2,0.25
15.0,0.05,0.25
15.0,0.08,0.25
15.0,0.1,0.25
15.0,0.2,0.25
17.0,0.05,0.25
17.0,0.08,0.25
17.0,0.1,0.25
17.0,0.2,0.25
19.0,0.05,0.25
19.0,0.08,0.25
19.0,0.1,0.25
19.0,0.2,0.25
7.0,0.025,0.25
7.0,0.04,0.25
9.0,0.025,0.25
9.0,0.04,0.25
11.0,0.025,0.25
11.0,0.04,0.25
13.0,0.025,0.25
13.0,0.04,0.25
15.0,0.025,0.25
15.0,0.04,0.25
17.0,0.025,0.25
17.0,0.04,0.25
19.0,0.025,0.25
19.0,0.04,0.25
6.0,0.02,0.25
7.0,0.02,0.25
8.0,0.02,0.25
9.0,0.02,0.25
10.0,0.02,0.25
11.0,0.02,0.25
12.0,0.02,0.25
13.0,0.02,0.25
14.0,0.02,0.25
15.0,0.02,0.25
16.0,0.02,0.25
17.0,0.02,0.25
18.0,0.02,0.25
19.0,0.02,0.25
20.0,0.02,0.25
