chi,dx,min_dt
8.0,0.05,7.05e-11
8.0,0.08,4.73e-10
8.0,0.1,1.28e-9
8.0,0.2,1.8e-8
12.0,0.05,5.4e-11
12.0,0.08,3.21e-10
12.0,0.1,8.31e-10
12.0,0.2,1.23e-8
16.0,0.05,3.49e-11
16.0,0.08,2.31e-10
16.0,0.1,5.4e-10
16.0,0.2,9.0e-9
20.0,0.05,3.08e-11
20.0,0.08,1.9e-10
20.0,0.1,4.94e-10
20.0,0.2,8.05e-9
10.0,0.05,5.66e-11
10.0,0.08,3.97e-10
10.0,0.1,9.0e-10
10.0,0.2,1.86e-8
14.0,0.05,3.77e-11
14.0,0.08,2.79e-10
14.0,0.1,6.03e-10
14.0,0.2,9.01e-9
18.0,0.05,3.06e-11
18.0,0.08,1.99e-10
18.0,0.1,5.45e-10
18.0,0.2,7.33e-9
8.0,0.025,4.82e-12
8.0,0.04,3.26e-11
10.0,0.025,3.37e-12
10.0,0.04,2.15e-11
12.0,0.025,3.05e-12
12.0,0.04,1.81e-11
14.0,0.025,2.48e-12
14.0,0.04,1.56e-11
16.0,0.025,2.34e-12
16.0,0.04,1.36e-11
18.0,0.025,2.01e-12
18.0,0.04,1.37e-11
20.0,0.025,1.85e-12
20.0,0.04,1.26e-11
6.0,0.025,5.87e-12
6.0,0.04,3.72e-11
6.0,0.05,8.88e-11
6.0,0.08,6.12e-10
6.0,0.1,1.77e-9
6.0,0.2,2.06e-8
7.0,0.05,8.35e-11
7.0,0.08,4.68e-10
7.0,0.1,1.36e-9
7.0,0.2,2.35e-8
9.0,0.05,5.85e-11
9.0,0.08,4.34e-10
9.0,0.1,1.02e-9
9.0,0.2,1.4e-8
11.0,0.05,5.14e-11
11.0,0.08,3.98e-10
11.0,0.1,8.97e-10
11.0,0.2,1.82e-8
13.0,0.05,4.19e-11
13.0,0.08,2.77e-10
13.0,0.1,7.16e-10
13.0,0.2,1.12e-8
15.0,0.05,3.69e-11
15.0,0.08,2.58e-10
15.0,0.1,6.66e-10
15.0,0.2,8.95e-9
17.0,0.05,3.37e-11
17.0,0.08,2.23e-10
17.0,0.1,5.97e-10
17.0,0.2,7.39e-9
19.0,0.05,3.05e-11
19.0,0.08,1.63e-10
19.0,0.1,4.84e-10
19.0,0.2,7.52e-9
7.0,0.025,5.5e-12
7.0,0.04,3.6e-11
9.0,0.025,4.15e-12
9.0,0.04,2.44e-11
11.0,0.025,3.35e-12
11.0,0.04,2.1e-11
13.0,0.025,2.84e-12
13.0,0.04,1.66e-11
15.0,0.025,2.29e-12
15.0,0.04,1.69e-11
17.0,0.025,2.08e-12
17.0,0.04,1.26e-11
19.0,0.025,1.98e-12
19.0,0.04,1.07e-11
6.0,0.02,2.41e-12
7.0,0.02,2.08e-12
8.0,0.02,1.86e-12
9.0,0.02,1.7e-12
10.0,0.02,1.45e-12
11.0,0.02,1.28e-12
12.0,0.02,1.19e-12
13.0,0.02,1.07e-12
14.0,0.02,1.11e-12
15.0,0.02,1.02e-12
16.0,0.02,8.97e-13
17.0,0.02,8.26e-13
18.0,0.02,7.62e-13
19.0,0.02,7.79e-13
21.0,0.02,6.64e-13
21.0,0.025,1.62e-12
21.0,0.04,1.15e-11
21.0,0.05,2.78e-11
21.0,0.08,1.98e-10
21.0,0.1,4.3e-10
21.0,0.2,6.01e-9
22.0,0.02,6.74e-13
22.0,0.025,1.72e-12
22.0,0.04,1.01e-11
22.0,0.05,2.49e-11
22.0,0.08,1.79e-10
22.0,0.1,3.99e-10
22.0,0.2,9.34e-9
20.0,0.02,7.499997722048339e-13
23.0,0.02,6.166364181573299e-13
23.0,0.025,1.4598799317693436e-12
23.0,0.04,1.0803771350198208e-11
23.0,0.05,2.4890266721522774e-11
23.0,0.08,1.4677492184985704e-10
23.0,0.1,4.317697837247962e-10
23.0,0.2,8.039156994463752e-9
24.0,0.02,6.316116943833826e-13
24.0,0.025,1.4980907745755162e-12
24.0,0.04,9.531404547897615e-12
24.0,0.05,2.188587960086493e-11
24.0,0.08,1.3522380754567857e-10
24.0,0.1,3.7914175855423514e-10
24.0,0.2,5.360129968838226e-9
25.0,0.02,1.7763568394002505e-15
25.0,0.025,2.220446049250313e-16
25.0,0.04,9.545616377233427e-12
25.0,0.05,2.1514346203932378e-11
25.0,0.08,6.252776074688882e-12
25.0,0.1,3.5072389437118545e-11
25.0,0.2,5.449154799209114e-9
26.0,0.02,1.7763568394002505e-15
26.0,0.025,1.260155019506861e-12
26.0,0.04,8.9054039212987e-12
26.0,0.05,1.9545776318617223e-11
26.0,0.08,1.4313220157981607e-10
26.0,0.1,3.6167573858896624e-10
26.0,0.2,5.268674385661143e-12
27.0,0.02,5.578959529706433e-13
27.0,0.025,1.4549900448460332e-12
27.0,0.04,8.386342240638486e-12
27.0,0.05,6.9686478809671826e-12
27.0,0.08,5.6488147492927965e-12
27.0,0.1,8.400391493523784e-12
27.0,0.2,6.2479382793631615e-9
28.0,0.02,5.21777864992597e-13
28.0,0.025,1.210920965095084e-12
28.0,0.04,8.881784197001252e-16
28.0,0.05,9.386269539390923e-12
28.0,0.08,3.9882763758214423e-11
28.0,0.1,3.011976042312819e-10
28.0,0.2,5.1122654956703845e-9
29.0,0.02,5.397660864997876e-13
29.0,0.025,1.270757112520301e-12
29.0,0.04,6.801670338063559e-12
29.0,0.05,8.881784197001252e-16
29.0,0.08,1.2833687122151695e-10
29.0,0.1,3.67043844758306e-10
29.0,0.2,4.54096390410938e-9
