chi,deltax,critical_dt
3,0.5,0.5
3,0.4,0.5
3,0.25,0.5
3,0.2,0.5
4,0.5,0.5
4,0.4,0.5
4,0.25,0.5
4,0.2,0.5
5,0.5,0.5
5,0.4,0.5
5,0.25,0.5
5,0.2,0.5
6,0.5,0.015625
6,0.4,0.25
6,0.25,0.25
6,0.2,0.25
10,0.8,nan
12,0.8,nan
10,0.5,nan
11,0.5,nan
11,0.8,nan
12,0.5,nan
7,0.8,nan
8,0.8,nan
9,0.8,nan
10,0.4,nan
11,0.4,nan
12,0.4,nan
13,0.4,nan
13,0.5,nan
13,0.8,nan
14,0.4,nan
14,0.5,nan
14,0.8,nan
15,0.4,nan
15,0.5,nan
15,0.8,nan
3,0.8,0.5
4,0.8,0.5
5,0.8,0.5
6,0.8,nan
3,0.16,0.5
4,0.16,0.5
5,0.16,0.5
6,0.16,0.25
7,0.16,0.125
7,0.2,0.125
7,0.25,0.125
7,0.4,nan
7,0.5,nan
8,0.16,nan
8,0.2,nan
8,0.25,nan
8,0.4,nan
8,0.5,nan
3,0.1,0.5
4,0.1,0.5
5,0.1,0.5
6,0.1,0.25
7,0.1,0.25
8,0.1,0.0625
10,0.25,nan
10,0.2,nan
10,0.16,nan
10,0.1,nan
3,0.08,0.5
4,0.08,0.5
5,0.08,0.5
6,0.08,0.25
7,0.08,0.25
8,0.08,0.0625
9,0.2,nan
9,0.25,nan
9,0.4,nan
9,0.5,nan
9,0.1,nan
9,0.08,nan
9,0.16,nan
