chi,deltax,critical_dt
3.0,0.5,0.5
3.0,0.8,0.5
6.0,0.5,0.5
6.0,0.8,0.5
3.0,0.4,0.5
4.0,0.4,0.5
4.0,0.5,0.5
4.0,0.8,0.5
5.0,0.4,0.5
5.0,0.5,0.5
5.0,0.8,0.5
6.0,0.4,0.5
7.0,0.4,0.25
7.0,0.5,0.25
7.0,0.8,0.001953125
3.0,0.25,0.5
4.0,0.25,0.5
5.0,0.25,0.5
6.0,0.25,0.5
7.0,0.25,0.25
8.0,0.25,0.0625
8.0,0.4,0.015625
8.0,0.5,nan
8.0,0.8,nan
3.0,0.16,0.5
3.0,0.2,0.5
4.0,0.16,0.5
4.0,0.2,0.5
5.0,0.16,0.5
5.0,0.2,0.5
6.0,0.16,0.5
6.0,0.2,0.5
7.0,0.16,0.25
7.0,0.2,0.25
8.0,0.16,0.125
8.0,0.2,0.125
