chi,dx,min_dt
6.0,0.05,9.97e-11
6.0,0.08,5.51e-10
6.0,0.1,1.4e-9
6.0,0.16,1.17e-8
6.0,0.2,2.45e-8
7.0,0.05,7.84e-11
7.0,0.08,5.0e-10
7.0,0.1,1.19e-9
7.0,0.16,6.96e-9
7.0,0.2,2.13e-8
8.0,0.05,7.79e-11
8.0,0.08,4.36e-10
8.0,0.1,1.3e-9
8.0,0.16,7.67e-9
8.0,0.2,2.86e-8
9.0,0.05,6.84e-11
9.0,0.08,4.22e-10
9.0,0.1,9.34e-10
9.0,0.16,6.8e-9
9.0,0.2,1.7e-8
10.0,0.05,5.74e-11
10.0,0.08,3.64e-10
10.0,0.1,8.97e-10
10.0,0.16,6.42e-9
10.0,0.2,1.33e-8
6.0,0.02,2.41e-12
6.0,0.025,5.91e-12
6.0,0.04,3.96e-11
7.0,0.02,2.0e-12
7.0,0.025,4.95e-12
7.0,0.04,3.1e-11
8.0,0.02,1.85e-12
8.0,0.025,4.56e-12
8.0,0.04,3.08e-11
9.0,0.02,1.52e-12
9.0,0.025,4.2e-12
9.0,0.04,2.47e-11
10.0,0.02,1.43e-12
10.0,0.025,3.64e-12
10.0,0.04,2.46e-11
11.0,0.02,1.3e-12
11.0,0.025,3.15e-12
11.0,0.04,2.03e-11
11.0,0.05,4.71e-11
11.0,0.08,3.72e-10
11.0,0.1,8.84e-10
11.0,0.16,5.32e-9
11.0,0.2,1.54e-8
12.0,0.02,1.26e-12
12.0,0.025,3.02e-12
12.0,0.04,1.97e-11
12.0,0.05,4.62e-11
12.0,0.08,3.22e-10
12.0,0.1,7.6e-10
12.0,0.16,5.07e-9
12.0,0.2,1.5e-8
13.0,0.02,1.12e-12
13.0,0.025,2.63e-12
13.0,0.04,1.8e-11
13.0,0.05,4.5e-11
13.0,0.08,2.85e-10
13.0,0.1,6.28e-10
13.0,0.16,4.48e-9
13.0,0.2,1.08e-8
14.0,0.02,1.05e-12
14.0,0.025,2.58e-12
14.0,0.04,1.57e-11
14.0,0.05,4.08e-11
14.0,0.08,2.37e-10
14.0,0.1,7.31e-10
14.0,0.16,4.61e-9
14.0,0.2,8.95e-9
15.0,0.02,1.0e-12
15.0,0.025,2.44e-12
15.0,0.04,1.95e-11
15.0,0.05,3.69e-11
15.0,0.08,2.45e-10
15.0,0.1,5.82e-10
15.0,0.16,4.43e-9
15.0,0.2,1.05e-8
16.0,0.02,9.08e-13
16.0,0.025,2.3e-12
16.0,0.04,1.54e-11
16.0,0.05,3.79e-11
16.0,0.08,2.08e-10
16.0,0.1,5.64e-10
16.0,0.16,3.4e-9
16.0,0.2,1.09e-8
17.0,0.02,8.75e-13
17.0,0.025,1.87e-12
17.0,0.04,1.53e-11
17.0,0.05,3.28e-11
17.0,0.08,2.39e-10
17.0,0.1,5.01e-10
17.0,0.16,3.39e-9
17.0,0.2,8.45e-9
18.0,0.02,8.59e-13
18.0,0.025,1.82e-12
18.0,0.04,1.32e-11
18.0,0.05,3.66e-11
18.0,0.08,2.19e-10
18.0,0.1,5.69e-10
18.0,0.16,3.78e-9
18.0,0.2,1.12e-8
19.0,0.02,8.24e-13
19.0,0.025,1.78e-12
19.0,0.04,1.07e-11
19.0,0.05,3.38e-11
19.0,0.08,2.52e-10
19.0,0.1,5.04e-10
19.0,0.16,2.58e-9
19.0,0.2,9.06e-9
20.0,0.02,7.03e-13
20.0,0.025,1.68e-12
20.0,0.04,1.16e-11
20.0,0.05,2.75e-11
20.0,0.08,1.69e-10
20.0,0.1,5.24e-10
20.0,0.16,2.58e-9
20.0,0.2,6.37e-9
21.0,0.02,6.97e-13
21.0,0.025,1.65e-12
21.0,0.04,1.11e-11
21.0,0.05,2.54e-11
21.0,0.08,1.59e-10
21.0,0.1,4.84e-10
21.0,0.16,3.61e-9
21.0,0.2,6.2e-9
22.0,0.02,6.45e-13
22.0,0.025,1.63e-12
22.0,0.04,1.04e-11
22.0,0.05,2.5e-11
22.0,0.08,1.56e-10
22.0,0.1,4.32e-10
22.0,0.16,2.9e-9
22.0,0.2,7.09e-9
23.0,0.02,6.48e-13
23.0,0.025,1.52e-12
23.0,0.04,1.01e-11
23.0,0.05,2.4e-11
23.0,0.08,1.6e-10
23.0,0.1,3.68e-10
23.0,0.16,2.49e-9
23.0,0.2,6.8e-9
24.0,0.02,5.86e-13
24.0,0.04,9.16e-12
24.0,0.05,2.54e-11
24.0,0.08,1.73e-10
24.0,0.1,4.32e-10
24.0,0.16,2.32e-9
24.0,0.2,6.48e-9
25.0,0.02,6.0e-13
25.0,0.025,1.38e-12
25.0,0.04,8.82e-12
25.0,0.05,2.56e-11
25.0,0.08,1.75e-10
25.0,0.1,3.95e-10
25.0,0.16,2.24e-9
25.0,0.2,5.79e-9
26.0,0.02,5.26e-13
26.0,0.025,1.38e-12
26.0,0.04,7.93e-12
26.0,0.05,1.91e-11
26.0,0.08,1.2e-10
26.0,0.1,3.15e-10
26.0,0.16,2.39e-9
27.0,0.02,5.51e-13
27.0,0.025,1.27e-12
27.0,0.04,8.7e-12
27.0,0.05,1.97e-11
27.0,0.08,1.43e-10
27.0,0.1,3.56e-10
27.0,0.16,2.13e-9
27.0,0.2,5.68e-9
28.0,0.02,5.16e-13
28.0,0.025,1.3e-12
28.0,0.04,8.43e-12
28.0,0.05,2.15e-11
28.0,0.08,1.42e-10
28.0,0.1,3.26e-10
28.0,0.16,2.07e-9
28.0,0.2,6.22e-9
29.0,0.02,5.12e-13
29.0,0.025,1.19e-12
29.0,0.04,7.95e-12
29.0,0.05,2.0e-11
29.0,0.08,1.18e-10
29.0,0.1,3.13e-10
29.0,0.16,1.76e-9
29.0,0.2,5.35e-9
30.0,0.02,4.79e-13
30.0,0.025,1.2e-12
30.0,0.04,7.04e-12
30.0,0.05,1.89e-11
30.0,0.08,1.31e-10
30.0,0.1,2.8e-10
30.0,0.16,2.09e-9
30.0,0.2,5.53e-9
24.0,0.025,1.4685142042351578e-12
26.0,0.2,4.530672838868287e-9
