chi,dx,largest_stable_dt
6.0,0.05,0.25
6.0,0.08,0.25
6.0,0.1,0.25
6.0,0.16,0.25
6.0,0.2,0.25
7.0,0.05,0.25
7.0,0.08,0.25
7.0,0.1,0.25
7.0,0.16,0.25
7.0,0.2,0.25
8.0,0.05,0.25
8.0,0.08,0.25
8.0,0.1,0.25
8.0,0.16,0.25
8.0,0.2,0.25
9.0,0.05,0.125
9.0,0.08,0.25
9.0,0.1,0.125
9.0,0.16,0.125
9.0,0.2,0.125
10.0,0.05,0.125
10.0,0.08,0.125
10.0,0.1,0.125
10.0,0.16,0.0625
10.0,0.2,0.0625
6.0,0.02,0.25
6.0,0.025,0.25
6.0,0.04,0.25
7.0,0.02,0.25
7.0,0.025,0.25
7.0,0.04,0.25
8.0,0.02,0.25
8.0,0.025,0.25
8.0,0.04,0.25
9.0,0.02,0.25
9.0,0.025,0.25
9.0,0.04,0.25
10.0,0.02,0.125
10.0,0.025,0.125
10.0,0.04,0.125
11.0,0.02,0.0625
11.0,0.025,0.0625
11.0,0.04,0.0625
11.0,0.05,0.0625
11.0,0.08,0.0625
11.0,0.1,0.0625
11.0,0.16,0.0625
11.0,0.2,NaN
12.0,0.02,0.0625
12.0,0.025,0.0625
12.0,0.04,0.0625
12.0,0.05,0.0625
12.0,0.08,0.03125
12.0,0.1,0.03125
12.0,0.16,NaN
12.0,0.2,NaN
13.0,0.02,0.03125
13.0,0.025,0.03125
13.0,0.04,0.03125
13.0,0.05,0.03125
13.0,0.08,0.03125
13.0,0.1,0.015625
13.0,0.16,NaN
13.0,0.2,NaN
14.0,0.02,0.03125
14.0,0.025,0.03125
14.0,0.04,0.03125
14.0,0.05,0.03125
14.0,0.08,0.015625
14.0,0.1,NaN
14.0,0.16,NaN
14.0,0.2,NaN
15.0,0.02,0.03125
15.0,0.025,0.03125
15.0,0.04,0.03125
15.0,0.05,0.015625
15.0,0.08,0.015625
15.0,0.1,NaN
15.0,0.16,NaN
15.0,0.2,NaN
16.0,0.02,0.015625
16.0,0.025,0.015625
16.0,0.04,0.015625
16.0,0.05,0.015625
16.0,0.08,NaN
16.0,0.1,NaN
16.0,0.16,NaN
16.0,0.2,NaN
17.0,0.02,0.015625
17.0,0.025,0.015625
17.0,0.04,0.0078125
17.0,0.05,0.0078125
17.0,0.08,NaN
17.0,0.1,NaN
17.0,0.16,NaN
17.0,0.2,NaN
18.0,0.02,0.0078125
18.0,0.025,0.00390625
18.0,0.04,0.0078125
18.0,0.05,0.0078125
18.0,0.08,NaN
18.0,0.1,NaN
18.0,0.16,NaN
18.0,0.2,NaN
19.0,0.02,0.0078125
19.0,0.025,0.0078125
19.0,0.04,0.00390625
19.0,0.05,0.00390625
19.0,0.08,NaN
19.0,0.1,NaN
19.0,0.16,NaN
19.0,0.2,NaN
20.0,0.02,0.0078125
20.0,0.025,0.0078125
20.0,0.04,NaN
20.0,0.05,NaN
20.0,0.08,NaN
20.0,0.1,NaN
20.0,0.16,NaN
20.0,0.2,NaN
21.0,0.02,0.00390625
21.0,0.025,0.00390625
21.0,0.04,0.00390625
21.0,0.05,NaN
21.0,0.08,NaN
21.0,0.1,NaN
21.0,0.16,NaN
21.0,0.2,NaN
22.0,0.02,0.00390625
22.0,0.025,0.00390625
22.0,0.04,NaN
22.0,0.05,NaN
22.0,0.08,NaN
22.0,0.1,NaN
22.0,0.16,NaN
22.0,0.2,NaN
23.0,0.02,0.00390625
23.0,0.025,0.001953125
23.0,0.04,NaN
23.0,0.05,NaN
23.0,0.08,NaN
23.0,0.1,NaN
23.0,0.16,NaN
23.0,0.2,NaN
24.0,0.02,0.001953125
24.0,0.025,0.00390625
24.0,0.04,NaN
24.0,0.05,NaN
24.0,0.08,NaN
24.0,0.1,NaN
24.0,0.16,NaN
24.0,0.2,NaN
25.0,0.02,0.001953125
25.0,0.025,0.0009765625
25.0,0.04,NaN
25.0,0.05,NaN
25.0,0.08,NaN
25.0,0.1,NaN
25.0,0.16,NaN
25.0,0.2,NaN
26.0,0.02,0.0009765625
26.0,0.025,0.0009765625
26.0,0.04,NaN
26.0,0.05,NaN
26.0,0.08,NaN
26.0,0.1,NaN
26.0,0.16,NaN
26.0,0.2,NaN
27.0,0.02,0.001953125
27.0,0.025,NaN
27.0,0.04,NaN
27.0,0.05,NaN
27.0,0.08,NaN
27.0,0.1,NaN
27.0,0.16,NaN
27.0,0.2,NaN
28.0,0.02,NaN
28.0,0.025,NaN
28.0,0.04,NaN
28.0,0.05,NaN
28.0,0.08,NaN
28.0,0.1,NaN
28.0,0.16,NaN
28.0,0.2,NaN
29.0,0.02,NaN
29.0,0.025,NaN
29.0,0.04,NaN
29.0,0.05,NaN
29.0,0.08,NaN
29.0,0.1,NaN
29.0,0.16,NaN
29.0,0.2,NaN
30.0,0.02,NaN
30.0,0.025,NaN
30.0,0.04,NaN
30.0,0.05,NaN
30.0,0.08,NaN
30.0,0.1,NaN
30.0,0.16,NaN
30.0,0.2,NaN
