chi,dx,min_dt
6.0,0.4,1.2592773275396006e-7
7.0,0.4,1.0861196849911306e-7
8.0,0.4,9.52752250885034e-8
6.0,0.25,1.8734239476197818e-8
7.0,0.25,1.601471225330067e-8
8.0,0.25,1.3698451431155905e-8
9.0,0.25,1.2515956421449315e-8
9.0,0.4,8.607114601479596e-8
10.0,0.25,1.1223111650889994e-8
10.0,0.4,7.561031493254419e-8
11.0,0.4,6.94303012077393e-8
6.0,0.5,3.044705148556815e-7
7.0,0.5,2.664280801752878e-7
8.0,0.5,2.3745061761296782e-7
9.0,0.5,2.0608578528445425e-7
10.0,0.5,1.8160602063387444e-7
11.0,0.25,1.0143974612418077e-8
11.0,0.5,1.707977885079984e-7
6.0,0.2,7.586395869849167e-9
7.0,0.2,6.535918691235003e-9
8.0,0.2,5.718832186243413e-9
9.0,0.2,5.0035139449425344e-9
10.0,0.2,4.538581905846201e-9
12.0,0.5,1.5942457228547008e-7
4.0,0.2,1.1381233167817123e-8
4.0,0.25,2.8243723536725285e-8
4.0,0.4,1.8448154495361472e-7
4.0,0.5,4.5319168173673227e-7
5.0,0.2,9.235600819941046e-9
5.0,0.25,2.2175369976881864e-8
5.0,0.4,1.510935502365313e-7
5.0,0.5,3.7351471251607225e-7
4.0,0.1,7.123152524162105e-10
5.0,0.1,5.669090381089544e-10
6.0,0.1,4.706527458299762e-10
7.0,0.1,4.0516727583451607e-10
8.0,0.1,3.5451428735000297e-10
9.0,0.1,3.1700674503953225e-10
11.0,0.2,4.12175845465766e-9
4.0,0.16,4.692092591670511e-9
5.0,0.16,3.7415761728988585e-9
6.0,0.16,3.1120995828174626e-9
7.0,0.16,2.6256571070697035e-9
8.0,0.16,2.3345827868509927e-9
9.0,0.16,2.078456285944398e-9
10.0,0.16,NaN
11.0,0.16,NaN
12.0,0.16,NaN
12.0,0.2,NaN
12.0,0.25,NaN
12.0,0.4,NaN
13.0,0.16,NaN
13.0,0.2,NaN
13.0,0.25,NaN
13.0,0.4,NaN
13.0,0.5,NaN
14.0,0.16,NaN
14.0,0.2,NaN
14.0,0.25,NaN
14.0,0.4,NaN
14.0,0.5,NaN
15.0,0.16,NaN
15.0,0.2,NaN
15.0,0.25,NaN
15.0,0.4,NaN
15.0,0.5,NaN
16.0,0.16,NaN
16.0,0.2,NaN
16.0,0.25,NaN
16.0,0.4,NaN
16.0,0.5,NaN
10.0,0.1,NaN
11.0,0.1,NaN
12.0,0.1,NaN
13.0,0.1,NaN
14.0,0.1,NaN
15.0,0.1,NaN
16.0,0.1,NaN
