tau0,tau,dx,dt
8.0,68.4,0.02,0.02
8.0,68.76,0.02,0.02
8.0,61.92,0.02,0.02
8.0,73.72,0.02,0.02
8.0,65.46000000000001,0.02,0.02
8.0,72.60000000000001,0.02,0.02
8.0,59.02,0.02,0.02
8.0,67.52,0.02,0.02
8.0,64.9,0.02,0.02
8.0,65.2,0.02,0.02
3.5992438563327034,27.72,0.02,0.02
3.5992438563327034,30.580000000000002,0.02,0.02
3.5992438563327034,25.560000000000002,0.02,0.02
3.5992438563327034,23.18,0.02,0.02
3.5992438563327034,25.240000000000002,0.02,0.02
3.5992438563327034,29.02,0.02,0.02
3.5992438563327034,31.64,0.02,0.02
3.5992438563327034,33.0,0.02,0.02
3.5992438563327034,29.18,0.02,0.02
3.5992438563327034,25.14,0.02,0.02
2.1875,21.02,0.02,0.02
2.1875,16.54,0.02,0.02
2.1875,13.74,0.02,0.02
2.1875,18.12,0.02,0.02
2.1875,17.06,0.02,0.02
2.1875,15.44,0.02,0.02
2.1875,16.02,0.02,0.02
2.1875,14.280000000000001,0.02,0.02
2.1875,20.14,0.02,0.02
2.1875,14.24,0.02,0.02
1.532421177870315,10.6,0.02,0.02
1.532421177870315,9.44,0.02,0.02
1.532421177870315,11.0,0.02,0.02
1.532421177870315,13.82,0.02,0.02
1.532421177870315,14.48,0.02,0.02
1.532421177870315,13.620000000000001,0.02,0.02
1.532421177870315,13.32,0.02,0.02
1.532421177870315,11.8,0.02,0.02
1.532421177870315,10.02,0.02,0.02
1.532421177870315,13.34,0.02,0.02
1.1648,7.84,0.02,0.02
1.1648,10.48,0.02,0.02
1.1648,9.02,0.02,0.02
1.1648,12.46,0.02,0.02
1.1648,11.24,0.02,0.02
1.1648,9.9,0.02,0.02
1.1648,9.56,0.02,0.02
1.1648,9.120000000000001,0.02,0.02
1.1648,10.9,0.02,0.02
1.1648,9.08,0.02,0.02
0.9330652111462222,8.22,0.02,0.02
0.9330652111462222,14.06,0.02,0.02
0.9330652111462222,7.5200000000000005,0.02,0.02
0.9330652111462222,8.16,0.02,0.02
0.9330652111462222,7.84,0.02,0.02
0.9330652111462222,6.76,0.02,0.02
0.9330652111462222,6.8,0.02,0.02
0.9330652111462222,7.12,0.02,0.02
0.9330652111462222,7.42,0.02,0.02
0.9330652111462222,6.84,0.02,0.02
0.7750865051903115,7.0600000000000005,0.02,0.02
0.7750865051903115,7.58,0.02,0.02
0.7750865051903115,5.74,0.02,0.02
0.7750865051903115,7.08,0.02,0.02
0.7750865051903115,6.640000000000001,0.02,0.02
0.7750865051903115,5.62,0.02,0.02
0.7750865051903115,6.44,0.02,0.02
0.7750865051903115,6.5600000000000005,0.02,0.02
0.7750865051903115,6.640000000000001,0.02,0.02
0.7750865051903115,6.28,0.02,0.02
0.6611570247933884,4.82,0.02,0.02
0.6611570247933884,5.82,0.02,0.02
0.6611570247933884,4.92,0.02,0.02
0.6611570247933884,5.0600000000000005,0.02,0.02
0.6611570247933884,5.32,0.02,0.02
0.6611570247933884,5.74,0.02,0.02
0.6611570247933884,5.46,0.02,0.02
0.6611570247933884,5.66,0.02,0.02
0.6611570247933884,7.5200000000000005,0.02,0.02
0.6611570247933884,5.66,0.02,0.02
0.5754461871281774,4.88,0.02,0.02
0.5754461871281774,5.2,0.02,0.02
0.5754461871281774,5.04,0.02,0.02
0.5754461871281774,6.22,0.02,0.02
0.5754461871281774,5.0,0.02,0.02
0.5754461871281774,6.22,0.02,0.02
0.5754461871281774,4.9,0.02,0.02
0.5754461871281774,4.46,0.02,0.02
0.5754461871281774,4.32,0.02,0.02
0.5754461871281774,6.1000000000000005,0.02,0.02
0.5088088642659279,4.16,0.02,0.02
0.5088088642659279,5.26,0.02,0.02
0.5088088642659279,3.94,0.02,0.02
0.5088088642659279,4.0600000000000005,0.02,0.02
0.5088088642659279,4.0200000000000005,0.02,0.02
0.5088088642659279,5.24,0.02,0.02
0.5088088642659279,4.3,0.02,0.02
0.5088088642659279,4.7,0.02,0.02
0.5088088642659279,4.48,0.02,0.02
0.5088088642659279,4.92,0.02,0.02
0.4556213017751479,5.16,0.02,0.02
0.4556213017751479,5.28,0.02,0.02
0.4556213017751479,4.5600000000000005,0.02,0.02
0.4556213017751479,4.3,0.02,0.02
0.4556213017751479,3.38,0.02,0.02
0.4556213017751479,3.56,0.02,0.02
0.4556213017751479,5.0600000000000005,0.02,0.02
0.4556213017751479,3.5,0.02,0.02
0.4556213017751479,5.16,0.02,0.02
0.4556213017751479,4.08,0.02,0.02
0.41224841412796615,4.0200000000000005,0.02,0.02
0.41224841412796615,2.9,0.02,0.02
0.41224841412796615,3.7,0.02,0.02
0.41224841412796615,3.7800000000000002,0.02,0.02
0.41224841412796615,4.12,0.02,0.02
0.41224841412796615,3.2,0.02,0.02
0.41224841412796615,3.54,0.02,0.02
0.41224841412796615,3.72,0.02,0.02
0.41224841412796615,3.74,0.02,0.02
0.41224841412796615,7.5,0.02,0.02
0.37624294544477294,3.12,0.02,0.02
0.37624294544477294,3.18,0.02,0.02
0.37624294544477294,4.14,0.02,0.02
0.37624294544477294,4.42,0.02,0.02
0.37624294544477294,3.62,0.02,0.02
0.37624294544477294,3.6,0.02,0.02
0.37624294544477294,4.0600000000000005,0.02,0.02
0.37624294544477294,2.86,0.02,0.02
0.37624294544477294,4.24,0.02,0.02
0.37624294544477294,3.56,0.02,0.02
0.3459005885437911,3.18,0.02,0.02
0.3459005885437911,2.86,0.02,0.02
0.3459005885437911,2.94,0.02,0.02
0.3459005885437911,4.5600000000000005,0.02,0.02
0.3459005885437911,3.16,0.02,0.02
0.3459005885437911,2.64,0.02,0.02
0.3459005885437911,3.54,0.02,0.02
0.3459005885437911,2.92,0.02,0.02
0.3459005885437911,3.12,0.02,0.02
0.3459005885437911,3.08,0.02,0.02
0.32,4.9,0.02,0.02
0.32,2.72,0.02,0.02
0.32,2.88,0.02,0.02
0.32,2.94,0.02,0.02
0.32,3.7600000000000002,0.02,0.02
0.32,3.58,0.02,0.02
0.32,3.74,0.02,0.02
0.32,3.3200000000000003,0.02,0.02
0.32,2.54,0.02,0.02
0.32,3.34,0.02,0.02
8.0,68.3,0.05,0.02
8.0,64.82000000000001,0.05,0.02
8.0,52.620000000000005,0.05,0.02
8.0,65.62,0.05,0.02
8.0,61.76,0.05,0.02
8.0,66.0,0.05,0.02
8.0,52.300000000000004,0.05,0.02
8.0,47.980000000000004,0.05,0.02
8.0,61.28,0.05,0.02
8.0,51.56,0.05,0.02
3.5992438563327034,23.02,0.05,0.02
3.5992438563327034,19.36,0.05,0.02
3.5992438563327034,32.160000000000004,0.05,0.02
3.5992438563327034,21.1,0.05,0.02
3.5992438563327034,27.38,0.05,0.02
3.5992438563327034,27.44,0.05,0.02
3.5992438563327034,24.0,0.05,0.02
3.5992438563327034,27.7,0.05,0.02
3.5992438563327034,25.94,0.05,0.02
3.5992438563327034,19.92,0.05,0.02
2.1875,13.120000000000001,0.05,0.02
2.1875,13.98,0.05,0.02
2.1875,13.6,0.05,0.02
2.1875,16.36,0.05,0.02
2.1875,15.120000000000001,0.05,0.02
2.1875,15.82,0.05,0.02
2.1875,14.74,0.05,0.02
2.1875,16.62,0.05,0.02
2.1875,13.32,0.05,0.02
2.1875,12.780000000000001,0.05,0.02
1.532421177870315,10.5,0.05,0.02
1.532421177870315,10.64,0.05,0.02
1.532421177870315,12.36,0.05,0.02
1.532421177870315,9.620000000000001,0.05,0.02
1.532421177870315,9.0,0.05,0.02
1.532421177870315,12.84,0.05,0.02
1.532421177870315,12.74,0.05,0.02
1.532421177870315,11.540000000000001,0.05,0.02
1.532421177870315,11.9,0.05,0.02
1.532421177870315,9.56,0.05,0.02
1.1648,9.34,0.05,0.02
1.1648,9.74,0.05,0.02
1.1648,9.82,0.05,0.02
1.1648,8.86,0.05,0.02
1.1648,8.24,0.05,0.02
1.1648,7.8,0.05,0.02
1.1648,9.86,0.05,0.02
1.1648,7.6000000000000005,0.05,0.02
1.1648,7.32,0.05,0.02
1.1648,7.22,0.05,0.02
0.9330652111462222,6.26,0.05,0.02
0.9330652111462222,6.86,0.05,0.02
0.9330652111462222,9.1,0.05,0.02
0.9330652111462222,7.94,0.05,0.02
0.9330652111462222,7.12,0.05,0.02
0.9330652111462222,7.68,0.05,0.02
0.9330652111462222,7.1000000000000005,0.05,0.02
0.9330652111462222,7.140000000000001,0.05,0.02
0.9330652111462222,7.54,0.05,0.02
0.9330652111462222,6.34,0.05,0.02
0.7750865051903115,5.46,0.05,0.02
0.7750865051903115,6.0600000000000005,0.05,0.02
0.7750865051903115,9.98,0.05,0.02
0.7750865051903115,7.42,0.05,0.02
0.7750865051903115,5.72,0.05,0.02
0.7750865051903115,5.66,0.05,0.02
0.7750865051903115,5.48,0.05,0.02
0.7750865051903115,9.48,0.05,0.02
0.7750865051903115,6.08,0.05,0.02
0.7750865051903115,5.8,0.05,0.02
0.6611570247933884,4.82,0.05,0.02
0.6611570247933884,4.92,0.05,0.02
0.6611570247933884,6.2,0.05,0.02
0.6611570247933884,4.54,0.05,0.02
0.6611570247933884,6.12,0.05,0.02
0.6611570247933884,5.6000000000000005,0.05,0.02
0.6611570247933884,5.38,0.05,0.02
0.6611570247933884,5.12,0.05,0.02
0.6611570247933884,5.4,0.05,0.02
0.6611570247933884,5.5600000000000005,0.05,0.02
0.5754461871281774,4.8,0.05,0.02
0.5754461871281774,5.14,0.05,0.02
0.5754461871281774,5.46,0.05,0.02
0.5754461871281774,6.22,0.05,0.02
0.5754461871281774,4.5,0.05,0.02
0.5754461871281774,4.42,0.05,0.02
0.5754461871281774,4.98,0.05,0.02
0.5754461871281774,4.92,0.05,0.02
0.5754461871281774,3.7600000000000002,0.05,0.02
0.5754461871281774,4.76,0.05,0.02
0.5088088642659279,3.7,0.05,0.02
0.5088088642659279,4.0,0.05,0.02
0.5088088642659279,4.0600000000000005,0.05,0.02
0.5088088642659279,4.24,0.05,0.02
0.5088088642659279,4.08,0.05,0.02
0.5088088642659279,3.44,0.05,0.02
0.5088088642659279,4.44,0.05,0.02
0.5088088642659279,6.16,0.05,0.02
0.5088088642659279,4.64,0.05,0.02
0.5088088642659279,5.4,0.05,0.02
0.4556213017751479,5.0,0.05,0.02
0.4556213017751479,3.62,0.05,0.02
0.4556213017751479,3.2600000000000002,0.05,0.02
0.4556213017751479,3.64,0.05,0.02
0.4556213017751479,4.0,0.05,0.02
0.4556213017751479,3.22,0.05,0.02
0.4556213017751479,3.44,0.05,0.02
0.4556213017751479,3.52,0.05,0.02
0.4556213017751479,3.64,0.05,0.02
0.4556213017751479,4.1,0.05,0.02
0.41224841412796615,3.22,0.05,0.02
0.41224841412796615,3.0,0.05,0.02
0.41224841412796615,2.9,0.05,0.02
0.41224841412796615,3.24,0.05,0.02
0.41224841412796615,3.2,0.05,0.02
0.41224841412796615,3.4,0.05,0.02
0.41224841412796615,3.7,0.05,0.02
0.41224841412796615,4.0,0.05,0.02
0.41224841412796615,3.66,0.05,0.02
0.41224841412796615,3.04,0.05,0.02
0.37624294544477294,3.98,0.05,0.02
0.37624294544477294,3.2,0.05,0.02
0.37624294544477294,2.66,0.05,0.02
0.37624294544477294,3.04,0.05,0.02
0.37624294544477294,2.88,0.05,0.02
0.37624294544477294,4.2,0.05,0.02
0.37624294544477294,3.44,0.05,0.02
0.37624294544477294,2.7800000000000002,0.05,0.02
0.37624294544477294,3.0,0.05,0.02
0.37624294544477294,2.7600000000000002,0.05,0.02
0.3459005885437911,2.68,0.05,0.02
0.3459005885437911,3.36,0.05,0.02
0.3459005885437911,2.82,0.05,0.02
0.3459005885437911,2.84,0.05,0.02
0.3459005885437911,3.2600000000000002,0.05,0.02
0.3459005885437911,2.84,0.05,0.02
0.3459005885437911,2.48,0.05,0.02
0.3459005885437911,3.74,0.05,0.02
0.3459005885437911,2.86,0.05,0.02
0.3459005885437911,4.58,0.05,0.02
0.32,2.96,0.05,0.02
0.32,3.04,0.05,0.02
0.32,2.42,0.05,0.02
0.32,2.62,0.05,0.02
0.32,2.94,0.05,0.02
0.32,3.2,0.05,0.02
0.32,3.2600000000000002,0.05,0.02
0.32,2.48,0.05,0.02
0.32,2.94,0.05,0.02
0.32,2.62,0.05,0.02
8.0,63.74,0.1,0.02
8.0,61.74,0.1,0.02
8.0,56.1,0.1,0.02
8.0,64.14,0.1,0.02
8.0,46.480000000000004,0.1,0.02
8.0,53.96,0.1,0.02
8.0,60.980000000000004,0.1,0.02
8.0,53.58,0.1,0.02
8.0,52.660000000000004,0.1,0.02
8.0,93.3,0.1,0.02
3.5992438563327034,27.740000000000002,0.1,0.02
3.5992438563327034,19.400000000000002,0.1,0.02
3.5992438563327034,19.98,0.1,0.02
3.5992438563327034,20.0,0.1,0.02
3.5992438563327034,23.72,0.1,0.02
3.5992438563327034,29.42,0.1,0.02
3.5992438563327034,20.06,0.1,0.02
3.5992438563327034,21.64,0.1,0.02
3.5992438563327034,19.86,0.1,0.02
3.5992438563327034,19.46,0.1,0.02
2.1875,15.48,0.1,0.02
2.1875,16.38,0.1,0.02
2.1875,13.94,0.1,0.02
2.1875,14.9,0.1,0.02
2.1875,11.94,0.1,0.02
2.1875,12.32,0.1,0.02
2.1875,16.080000000000002,0.1,0.02
2.1875,12.66,0.1,0.02
2.1875,12.94,0.1,0.02
2.1875,11.48,0.1,0.02
1.532421177870315,10.44,0.1,0.02
1.532421177870315,8.120000000000001,0.1,0.02
1.532421177870315,10.72,0.1,0.02
1.532421177870315,10.8,0.1,0.02
1.532421177870315,10.08,0.1,0.02
1.532421177870315,10.26,0.1,0.02
1.532421177870315,9.24,0.1,0.02
1.532421177870315,10.0,0.1,0.02
1.532421177870315,9.200000000000001,0.1,0.02
1.532421177870315,11.540000000000001,0.1,0.02
1.1648,9.64,0.1,0.02
1.1648,6.78,0.1,0.02
1.1648,7.2,0.1,0.02
1.1648,9.1,0.1,0.02
1.1648,6.76,0.1,0.02
1.1648,6.74,0.1,0.02
1.1648,9.98,0.1,0.02
1.1648,7.34,0.1,0.02
1.1648,8.08,0.1,0.02
1.1648,7.8,0.1,0.02
0.9330652111462222,6.5200000000000005,0.1,0.02
0.9330652111462222,8.8,0.1,0.02
0.9330652111462222,6.48,0.1,0.02
0.9330652111462222,7.32,0.1,0.02
0.9330652111462222,5.44,0.1,0.02
0.9330652111462222,6.0600000000000005,0.1,0.02
0.9330652111462222,6.22,0.1,0.02
0.9330652111462222,7.62,0.1,0.02
0.9330652111462222,5.74,0.1,0.02
0.9330652111462222,7.28,0.1,0.02
0.7750865051903115,6.62,0.1,0.02
0.7750865051903115,5.16,0.1,0.02
0.7750865051903115,6.12,0.1,0.02
0.7750865051903115,6.36,0.1,0.02
0.7750865051903115,5.24,0.1,0.02
0.7750865051903115,7.36,0.1,0.02
0.7750865051903115,7.38,0.1,0.02
0.7750865051903115,5.54,0.1,0.02
0.7750865051903115,5.28,0.1,0.02
0.7750865051903115,4.86,0.1,0.02
0.6611570247933884,4.5,0.1,0.02
0.6611570247933884,4.18,0.1,0.02
0.6611570247933884,4.44,0.1,0.02
0.6611570247933884,4.08,0.1,0.02
0.6611570247933884,4.42,0.1,0.02
0.6611570247933884,5.5200000000000005,0.1,0.02
0.6611570247933884,6.140000000000001,0.1,0.02
0.6611570247933884,4.68,0.1,0.02
0.6611570247933884,6.18,0.1,0.02
0.6611570247933884,4.74,0.1,0.02
0.5754461871281774,4.04,0.1,0.02
0.5754461871281774,3.54,0.1,0.02
0.5754461871281774,3.9,0.1,0.02
0.5754461871281774,4.34,0.1,0.02
