tau0,tau,dx,dt
8.0,51.58,0.02,0.02
8.0,62.42,0.02,0.02
8.0,54.2,0.02,0.02
8.0,58.1,0.02,0.02
8.0,60.88,0.02,0.02
8.0,78.64,0.02,0.02
8.0,59.34,0.02,0.02
8.0,55.620000000000005,0.02,0.02
8.0,54.980000000000004,0.02,0.02
8.0,59.96,0.02,0.02
3.5992438563327034,27.62,0.02,0.02
3.5992438563327034,22.2,0.02,0.02
3.5992438563327034,23.36,0.02,0.02
3.5992438563327034,34.52,0.02,0.02
3.5992438563327034,26.88,0.02,0.02
3.5992438563327034,26.38,0.02,0.02
3.5992438563327034,29.78,0.02,0.02
3.5992438563327034,26.94,0.02,0.02
3.5992438563327034,25.560000000000002,0.02,0.02
3.5992438563327034,24.2,0.02,0.02
2.1875,15.58,0.02,0.02
2.1875,14.64,0.02,0.02
2.1875,14.52,0.02,0.02
2.1875,16.62,0.02,0.02
2.1875,17.0,0.02,0.02
2.1875,13.8,0.02,0.02
2.1875,13.74,0.02,0.02
2.1875,13.6,0.02,0.02
2.1875,18.86,0.02,0.02
2.1875,15.58,0.02,0.02
1.532421177870315,10.64,0.02,0.02
1.532421177870315,9.68,0.02,0.02
1.532421177870315,14.44,0.02,0.02
1.532421177870315,11.16,0.02,0.02
1.532421177870315,12.56,0.02,0.02
1.532421177870315,12.120000000000001,0.02,0.02
1.532421177870315,10.48,0.02,0.02
1.532421177870315,13.700000000000001,0.02,0.02
1.532421177870315,13.24,0.02,0.02
1.532421177870315,10.84,0.02,0.02
1.1648,8.48,0.02,0.02
1.1648,9.200000000000001,0.02,0.02
1.1648,9.14,0.02,0.02
1.1648,8.82,0.02,0.02
1.1648,9.6,0.02,0.02
1.1648,8.700000000000001,0.02,0.02
1.1648,15.18,0.02,0.02
1.1648,8.74,0.02,0.02
1.1648,9.4,0.02,0.02
1.1648,10.52,0.02,0.02
0.9330652111462222,9.0,0.02,0.02
0.9330652111462222,7.9,0.02,0.02
0.9330652111462222,7.86,0.02,0.02
0.9330652111462222,6.54,0.02,0.02
0.9330652111462222,7.0600000000000005,0.02,0.02
0.9330652111462222,9.540000000000001,0.02,0.02
0.9330652111462222,8.72,0.02,0.02
0.9330652111462222,7.140000000000001,0.02,0.02
0.9330652111462222,8.700000000000001,0.02,0.02
0.9330652111462222,7.0200000000000005,0.02,0.02
0.7750865051903115,7.1000000000000005,0.02,0.02
0.7750865051903115,6.4,0.02,0.02
0.7750865051903115,7.2,0.02,0.02
0.7750865051903115,6.42,0.02,0.02
0.7750865051903115,6.44,0.02,0.02
0.7750865051903115,6.94,0.02,0.02
0.7750865051903115,6.2,0.02,0.02
0.7750865051903115,6.62,0.02,0.02
0.7750865051903115,6.32,0.02,0.02
0.7750865051903115,6.28,0.02,0.02
0.6611570247933884,4.74,0.02,0.02
0.6611570247933884,5.68,0.02,0.02
0.6611570247933884,5.42,0.02,0.02
0.6611570247933884,8.02,0.02,0.02
0.6611570247933884,5.28,0.02,0.02
0.6611570247933884,5.08,0.02,0.02
0.6611570247933884,6.5600000000000005,0.02,0.02
0.6611570247933884,5.9,0.02,0.02
0.6611570247933884,6.32,0.02,0.02
0.6611570247933884,6.36,0.02,0.02
0.5754461871281774,5.5200000000000005,0.02,0.02
0.5754461871281774,4.66,0.02,0.02
0.5754461871281774,4.98,0.02,0.02
0.5754461871281774,4.04,0.02,0.02
0.5754461871281774,4.82,0.02,0.02
0.5754461871281774,4.48,0.02,0.02
0.5754461871281774,4.44,0.02,0.02
0.5754461871281774,4.86,0.02,0.02
0.5754461871281774,5.68,0.02,0.02
0.5754461871281774,6.88,0.02,0.02
0.5088088642659279,4.32,0.02,0.02
0.5088088642659279,5.88,0.02,0.02
0.5088088642659279,5.24,0.02,0.02
0.5088088642659279,4.96,0.02,0.02
0.5088088642659279,4.98,0.02,0.02
0.5088088642659279,5.04,0.02,0.02
0.5088088642659279,4.36,0.02,0.02
0.5088088642659279,3.94,0.02,0.02
0.5088088642659279,3.98,0.02,0.02
0.5088088642659279,5.08,0.02,0.02
0.4556213017751479,4.62,0.02,0.02
0.4556213017751479,3.9,0.02,0.02
0.4556213017751479,4.78,0.02,0.02
0.4556213017751479,4.18,0.02,0.02
0.4556213017751479,4.46,0.02,0.02
0.4556213017751479,3.68,0.02,0.02
0.4556213017751479,4.34,0.02,0.02
0.4556213017751479,3.64,0.02,0.02
0.4556213017751479,4.88,0.02,0.02
0.4556213017751479,3.92,0.02,0.02
0.41224841412796615,4.24,0.02,0.02
0.41224841412796615,3.38,0.02,0.02
0.41224841412796615,2.98,0.02,0.02
0.41224841412796615,4.14,0.02,0.02
0.41224841412796615,3.66,0.02,0.02
0.41224841412796615,3.6,0.02,0.02
0.41224841412796615,3.42,0.02,0.02
0.41224841412796615,3.48,0.02,0.02
0.41224841412796615,3.22,0.02,0.02
0.41224841412796615,5.16,0.02,0.02
0.37624294544477294,3.54,0.02,0.02
0.37624294544477294,3.38,0.02,0.02
0.37624294544477294,3.8000000000000003,0.02,0.02
0.37624294544477294,3.86,0.02,0.02
0.37624294544477294,3.58,0.02,0.02
0.37624294544477294,3.42,0.02,0.02
0.37624294544477294,2.98,0.02,0.02
0.37624294544477294,3.16,0.02,0.02
0.37624294544477294,3.38,0.02,0.02
0.37624294544477294,3.58,0.02,0.02
0.3459005885437911,3.44,0.02,0.02
0.3459005885437911,3.22,0.02,0.02
0.3459005885437911,3.3000000000000003,0.02,0.02
0.3459005885437911,3.2800000000000002,0.02,0.02
0.3459005885437911,3.68,0.02,0.02
0.3459005885437911,3.38,0.02,0.02
0.3459005885437911,4.5200000000000005,0.02,0.02
0.3459005885437911,3.0,0.02,0.02
0.3459005885437911,2.88,0.02,0.02
0.3459005885437911,3.4,0.02,0.02
0.32,2.66,0.02,0.02
0.32,2.98,0.02,0.02
0.32,3.2600000000000002,0.02,0.02
0.32,2.94,0.02,0.02
0.32,2.86,0.02,0.02
0.32,2.7,0.02,0.02
0.32,3.24,0.02,0.02
0.32,2.98,0.02,0.02
0.32,2.62,0.02,0.02
0.32,3.18,0.02,0.02
8.0,52.54,0.05,0.02
8.0,52.160000000000004,0.05,0.02
8.0,62.480000000000004,0.05,0.02
8.0,76.26,0.05,0.02
8.0,60.36,0.05,0.02
8.0,56.38,0.05,0.02
8.0,69.14,0.05,0.02
8.0,52.980000000000004,0.05,0.02
8.0,99.62,0.05,0.02
8.0,49.800000000000004,0.05,0.02
3.5992438563327034,26.72,0.05,0.02
3.5992438563327034,23.3,0.05,0.02
3.5992438563327034,22.52,0.05,0.02
3.5992438563327034,21.38,0.05,0.02
3.5992438563327034,27.68,0.05,0.02
3.5992438563327034,25.240000000000002,0.05,0.02
3.5992438563327034,26.240000000000002,0.05,0.02
3.5992438563327034,28.34,0.05,0.02
3.5992438563327034,27.18,0.05,0.02
3.5992438563327034,22.78,0.05,0.02
2.1875,17.16,0.05,0.02
2.1875,12.040000000000001,0.05,0.02
2.1875,15.24,0.05,0.02
2.1875,15.620000000000001,0.05,0.02
2.1875,12.98,0.05,0.02
2.1875,17.82,0.05,0.02
2.1875,13.82,0.05,0.02
2.1875,13.86,0.05,0.02
2.1875,14.68,0.05,0.02
2.1875,14.48,0.05,0.02
1.532421177870315,9.120000000000001,0.05,0.02
1.532421177870315,13.52,0.05,0.02
1.532421177870315,10.06,0.05,0.02
1.532421177870315,10.8,0.05,0.02
1.532421177870315,10.84,0.05,0.02
1.532421177870315,9.44,0.05,0.02
1.532421177870315,11.06,0.05,0.02
1.532421177870315,10.78,0.05,0.02
1.532421177870315,11.200000000000001,0.05,0.02
1.532421177870315,13.38,0.05,0.02
1.1648,8.06,0.05,0.02
1.1648,8.38,0.05,0.02
1.1648,10.76,0.05,0.02
1.1648,9.34,0.05,0.02
1.1648,10.88,0.05,0.02
1.1648,8.8,0.05,0.02
1.1648,8.8,0.05,0.02
1.1648,9.58,0.05,0.02
1.1648,8.08,0.05,0.02
1.1648,10.34,0.05,0.02
0.9330652111462222,7.4,0.05,0.02
0.9330652111462222,7.78,0.05,0.02
0.9330652111462222,7.24,0.05,0.02
0.9330652111462222,6.0600000000000005,0.05,0.02
0.9330652111462222,5.98,0.05,0.02
0.9330652111462222,7.140000000000001,0.05,0.02
0.9330652111462222,7.24,0.05,0.02
0.9330652111462222,9.540000000000001,0.05,0.02
0.9330652111462222,5.94,0.05,0.02
0.9330652111462222,7.46,0.05,0.02
0.7750865051903115,6.12,0.05,0.02
0.7750865051903115,10.28,0.05,0.02
0.7750865051903115,6.34,0.05,0.02
0.7750865051903115,6.88,0.05,0.02
0.7750865051903115,5.0200000000000005,0.05,0.02
0.7750865051903115,5.72,0.05,0.02
0.7750865051903115,6.46,0.05,0.02
0.7750865051903115,5.92,0.05,0.02
0.7750865051903115,6.4,0.05,0.02
0.7750865051903115,5.14,0.05,0.02
0.6611570247933884,5.74,0.05,0.02
0.6611570247933884,4.92,0.05,0.02
0.6611570247933884,4.82,0.05,0.02
0.6611570247933884,7.62,0.05,0.02
0.6611570247933884,4.94,0.05,0.02
0.6611570247933884,5.86,0.05,0.02
0.6611570247933884,6.1000000000000005,0.05,0.02
0.6611570247933884,5.76,0.05,0.02
0.6611570247933884,4.4,0.05,0.02
0.6611570247933884,5.88,0.05,0.02
0.5754461871281774,5.4,0.05,0.02
0.5754461871281774,5.16,0.05,0.02
0.5754461871281774,4.38,0.05,0.02
0.5754461871281774,4.84,0.05,0.02
0.5754461871281774,4.18,0.05,0.02
0.5754461871281774,4.42,0.05,0.02
0.5754461871281774,4.36,0.05,0.02
0.5754461871281774,4.5,0.05,0.02
0.5754461871281774,6.32,0.05,0.02
0.5754461871281774,5.3,0.05,0.02
0.5088088642659279,4.5600000000000005,0.05,0.02
0.5088088642659279,4.58,0.05,0.02
0.5088088642659279,4.54,0.05,0.02
0.5088088642659279,3.86,0.05,0.02
0.5088088642659279,3.52,0.05,0.02
0.5088088642659279,4.5600000000000005,0.05,0.02
0.5088088642659279,3.54,0.05,0.02
0.5088088642659279,4.42,0.05,0.02
0.5088088642659279,4.0600000000000005,0.05,0.02
0.5088088642659279,4.44,0.05,0.02
0.4556213017751479,3.62,0.05,0.02
0.4556213017751479,3.38,0.05,0.02
0.4556213017751479,4.14,0.05,0.02
0.4556213017751479,4.16,0.05,0.02
0.4556213017751479,3.64,0.05,0.02
0.4556213017751479,3.96,0.05,0.02
0.4556213017751479,2.96,0.05,0.02
0.4556213017751479,4.22,0.05,0.02
0.4556213017751479,5.5600000000000005,0.05,0.02
0.4556213017751479,3.7600000000000002,0.05,0.02
0.41224841412796615,4.76,0.05,0.02
0.41224841412796615,2.72,0.05,0.02
0.41224841412796615,3.24,0.05,0.02
0.41224841412796615,3.34,0.05,0.02
0.41224841412796615,3.2800000000000002,0.05,0.02
0.41224841412796615,2.86,0.05,0.02
0.41224841412796615,3.06,0.05,0.02
0.41224841412796615,3.3200000000000003,0.05,0.02
0.41224841412796615,3.64,0.05,0.02
0.41224841412796615,3.06,0.05,0.02
0.37624294544477294,2.84,0.05,0.02
0.37624294544477294,3.7,0.05,0.02
0.37624294544477294,2.86,0.05,0.02
0.37624294544477294,3.88,0.05,0.02
0.37624294544477294,3.06,0.05,0.02
0.37624294544477294,3.3200000000000003,0.05,0.02
0.37624294544477294,2.9,0.05,0.02
0.37624294544477294,3.8200000000000003,0.05,0.02
0.37624294544477294,3.18,0.05,0.02
0.37624294544477294,3.08,0.05,0.02
0.3459005885437911,3.46,0.05,0.02
0.3459005885437911,2.82,0.05,0.02
0.3459005885437911,3.02,0.05,0.02
0.3459005885437911,2.64,0.05,0.02
0.3459005885437911,2.84,0.05,0.02
0.3459005885437911,2.86,0.05,0.02
0.3459005885437911,2.5,0.05,0.02
0.3459005885437911,3.04,0.05,0.02
0.3459005885437911,2.98,0.05,0.02
0.3459005885437911,3.0,0.05,0.02
0.32,3.24,0.05,0.02
0.32,2.64,0.05,0.02
0.32,2.9,0.05,0.02
0.32,2.84,0.05,0.02
0.32,2.58,0.05,0.02
0.32,2.2800000000000002,0.05,0.02
0.32,2.38,0.05,0.02
0.32,4.88,0.05,0.02
0.32,3.1,0.05,0.02
0.32,2.6,0.05,0.02
8.0,63.6,0.1,0.02
8.0,53.84,0.1,0.02
8.0,49.18,0.1,0.02
8.0,100.3,0.1,0.02
8.0,54.4,0.1,0.02
8.0,48.84,0.1,0.02
8.0,57.800000000000004,0.1,0.02
8.0,41.42,0.1,0.02
8.0,56.84,0.1,0.02
8.0,62.86,0.1,0.02
3.5992438563327034,19.96,0.1,0.02
3.5992438563327034,22.6,0.1,0.02
3.5992438563327034,19.22,0.1,0.02
3.5992438563327034,20.66,0.1,0.02
3.5992438563327034,20.04,0.1,0.02
3.5992438563327034,29.28,0.1,0.02
3.5992438563327034,24.02,0.1,0.02
3.5992438563327034,18.04,0.1,0.02
3.5992438563327034,21.12,0.1,0.02
3.5992438563327034,27.060000000000002,0.1,0.02
2.1875,12.16,0.1,0.02
2.1875,11.16,0.1,0.02
2.1875,13.72,0.1,0.02
2.1875,15.700000000000001,0.1,0.02
2.1875,26.32,0.1,0.02
2.1875,14.58,0.1,0.02
2.1875,14.94,0.1,0.02
2.1875,12.02,0.1,0.02
2.1875,13.02,0.1,0.02
2.1875,12.9,0.1,0.02
1.532421177870315,11.32,0.1,0.02
1.532421177870315,10.72,0.1,0.02
1.532421177870315,10.200000000000001,0.1,0.02
1.532421177870315,9.44,0.1,0.02
1.532421177870315,10.58,0.1,0.02
1.532421177870315,14.96,0.1,0.02
1.532421177870315,9.94,0.1,0.02
1.532421177870315,9.28,0.1,0.02
1.532421177870315,10.76,0.1,0.02
1.532421177870315,10.02,0.1,0.02
1.1648,9.06,0.1,0.02
1.1648,7.88,0.1,0.02
1.1648,7.68,0.1,0.02
1.1648,6.9,0.1,0.02
1.1648,7.44,0.1,0.02
1.1648,8.26,0.1,0.02
1.1648,6.7,0.1,0.02
1.1648,6.1000000000000005,0.1,0.02
1.1648,11.08,0.1,0.02
1.1648,8.22,0.1,0.02
0.9330652111462222,6.08,0.1,0.02
0.9330652111462222,5.9,0.1,0.02
0.9330652111462222,10.56,0.1,0.02
0.9330652111462222,6.0200000000000005,0.1,0.02
0.9330652111462222,7.3,0.1,0.02
0.9330652111462222,6.46,0.1,0.02
0.9330652111462222,5.76,0.1,0.02
0.9330652111462222,5.8,0.1,0.02
0.9330652111462222,6.16,0.1,0.02
0.9330652111462222,12.0,0.1,0.02
0.7750865051903115,4.32,0.1,0.02
0.7750865051903115,5.5200000000000005,0.1,0.02
0.7750865051903115,4.9,0.1,0.02
0.7750865051903115,5.0600000000000005,0.1,0.02
0.7750865051903115,6.04,0.1,0.02
0.7750865051903115,5.66,0.1,0.02
0.7750865051903115,4.88,0.1,0.02
0.7750865051903115,8.52,0.1,0.02
0.7750865051903115,6.140000000000001,0.1,0.02
0.7750865051903115,5.14,0.1,0.02
0.6611570247933884,4.42,0.1,0.02
0.6611570247933884,4.2,0.1,0.02
0.6611570247933884,4.66,0.1,0.02
0.6611570247933884,4.5,0.1,0.02
0.6611570247933884,5.28,0.1,0.02
0.6611570247933884,5.2,0.1,0.02
0.6611570247933884,5.38,0.1,0.02
0.6611570247933884,7.36,0.1,0.02
0.6611570247933884,6.4,0.1,0.02
0.6611570247933884,6.1000000000000005,0.1,0.02
0.5754461871281774,4.26,0.1,0.02
0.5754461871281774,5.14,0.1,0.02
0.5754461871281774,4.76,0.1,0.02
0.5754461871281774,3.72,0.1,0.02
0.5754461871281774,4.44,0.1,0.02
0.5754461871281774,3.92,0.1,0.02
0.5754461871281774,4.54,0.1,0.02
0.5754461871281774,4.0600000000000005,0.1,0.02
0.5754461871281774,5.46,0.1,0.02
0.5754461871281774,4.16,0.1,0.02
0.5088088642659279,2.96,0.1,0.02
0.5088088642659279,3.24,0.1,0.02
0.5088088642659279,3.16,0.1,0.02
0.5088088642659279,3.84,0.1,0.02
0.5088088642659279,3.62,0.1,0.02
0.5088088642659279,3.86,0.1,0.02
0.5088088642659279,3.64,0.1,0.02
0.5088088642659279,3.44,0.1,0.02
0.5088088642659279,4.08,0.1,0.02
0.5088088642659279,3.56,0.1,0.02
0.4556213017751479,3.22,0.1,0.02
0.4556213017751479,2.94,0.1,0.02
0.4556213017751479,3.04,0.1,0.02
0.4556213017751479,3.56,0.1,0.02
0.4556213017751479,3.66,0.1,0.02
0.4556213017751479,3.24,0.1,0.02
0.4556213017751479,3.62,0.1,0.02
0.4556213017751479,3.2600000000000002,0.1,0.02
0.4556213017751479,3.16,0.1,0.02
0.4556213017751479,3.54,0.1,0.02
0.41224841412796615,2.7800000000000002,0.1,0.02
0.41224841412796615,2.88,0.1,0.02
0.41224841412796615,2.92,0.1,0.02
0.41224841412796615,3.36,0.1,0.02
0.41224841412796615,3.14,0.1,0.02
0.41224841412796615,3.8000000000000003,0.1,0.02
0.41224841412796615,2.94,0.1,0.02
0.41224841412796615,3.38,0.1,0.02
0.41224841412796615,3.42,0.1,0.02
0.41224841412796615,2.4,0.1,0.02
0.37624294544477294,2.96,0.1,0.02
0.37624294544477294,2.68,0.1,0.02
0.37624294544477294,2.88,0.1,0.02
0.37624294544477294,4.22,0.1,0.02
0.37624294544477294,3.18,0.1,0.02
0.37624294544477294,3.24,0.1,0.02
0.37624294544477294,2.48,0.1,0.02
0.37624294544477294,2.94,0.1,0.02
0.37624294544477294,2.7800000000000002,0.1,0.02
0.37624294544477294,2.46,0.1,0.02
0.3459005885437911,2.8000000000000003,0.1,0.02
0.3459005885437911,2.9,0.1,0.02
0.3459005885437911,3.18,0.1,0.02
0.3459005885437911,2.56,0.1,0.02
0.3459005885437911,3.2,0.1,0.02
0.3459005885437911,2.62,0.1,0.02
0.3459005885437911,2.7,0.1,0.02
0.3459005885437911,3.22,0.1,0.02
0.3459005885437911,3.02,0.1,0.02
0.3459005885437911,2.62,0.1,0.02
0.32,2.94,0.1,0.02
0.32,2.54,0.1,0.02
0.32,2.54,0.1,0.02
0.32,2.64,0.1,0.02
0.32,2.48,0.1,0.02
0.32,2.34,0.1,0.02
0.32,2.06,0.1,0.02
0.32,2.44,0.1,0.02
0.32,2.7800000000000002,0.1,0.02
0.32,2.7,0.1,0.02
