tau0,tau
8.0,60.9
8.0,53.870000000000005
8.0,54.63
8.0,56.36
8.0,82.79
8.0,56.31
8.0,50.86
8.0,78.72
8.0,74.75
8.0,57.24
3.5992438563327034,26.1
3.5992438563327034,22.28
3.5992438563327034,21.91
3.5992438563327034,28.07
3.5992438563327034,22.14
3.5992438563327034,19.42
3.5992438563327034,25.560000000000002
3.5992438563327034,23.18
3.5992438563327034,19.29
3.5992438563327034,30.41
2.1875,15.58
2.1875,13.780000000000001
2.1875,15.02
2.1875,14.84
2.1875,14.59
2.1875,14.47
2.1875,14.51
2.1875,15.43
2.1875,13.13
2.1875,15.01
1.532421177870315,11.47
1.532421177870315,10.38
1.532421177870315,14.56
1.532421177870315,10.26
1.532421177870315,11.89
1.532421177870315,9.700000000000001
1.532421177870315,9.83
1.532421177870315,11.48
1.532421177870315,10.47
1.532421177870315,10.120000000000001
1.1648,11.05
1.1648,8.5
1.1648,6.96
1.1648,8.45
1.1648,11.14
1.1648,10.44
1.1648,7.44
1.1648,8.78
1.1648,10.89
1.1648,9.950000000000001
0.9330652111462222,7.26
0.9330652111462222,10.6
0.9330652111462222,9.55
0.9330652111462222,6.48
0.9330652111462222,9.03
0.9330652111462222,5.8100000000000005
0.9330652111462222,9.82
0.9330652111462222,7.25
0.9330652111462222,8.0
0.9330652111462222,6.09
0.7750865051903115,6.46
0.7750865051903115,6.640000000000001
0.7750865051903115,5.92
0.7750865051903115,7.45
0.7750865051903115,5.15
0.7750865051903115,5.71
0.7750865051903115,5.36
0.7750865051903115,5.32
0.7750865051903115,6.43
0.7750865051903115,5.18
0.6611570247933884,4.63
0.6611570247933884,6.83
0.6611570247933884,4.83
0.6611570247933884,5.5
0.6611570247933884,6.0600000000000005
0.6611570247933884,5.44
0.6611570247933884,4.87
0.6611570247933884,5.28
0.6611570247933884,5.47
0.6611570247933884,5.38
0.5754461871281774,6.03
0.5754461871281774,4.8
0.5754461871281774,4.38
0.5754461871281774,5.5
0.5754461871281774,4.4
0.5754461871281774,5.17
0.5754461871281774,5.0
0.5754461871281774,5.51
0.5754461871281774,5.14
0.5754461871281774,5.63
0.5088088642659279,4.39
0.5088088642659279,4.08
0.5088088642659279,3.86
0.5088088642659279,4.63
0.5088088642659279,3.93
0.5088088642659279,3.39
0.5088088642659279,4.04
0.5088088642659279,3.97
0.5088088642659279,4.5600000000000005
0.5088088642659279,4.3100000000000005
0.4556213017751479,5.66
0.4556213017751479,5.25
0.4556213017751479,3.6
0.4556213017751479,4.41
0.4556213017751479,3.71
0.4556213017751479,4.49
0.4556213017751479,3.29
0.4556213017751479,3.2600000000000002
0.4556213017751479,3.84
0.4556213017751479,3.86
0.41224841412796615,3.34
0.41224841412796615,4.72
0.41224841412796615,3.5100000000000002
0.41224841412796615,3.8000000000000003
0.41224841412796615,3.24
0.41224841412796615,3.61
0.41224841412796615,3.02
0.41224841412796615,3.2
0.41224841412796615,3.3000000000000003
0.41224841412796615,3.3200000000000003
0.37624294544477294,4.97
0.37624294544477294,4.3
0.37624294544477294,3.87
0.37624294544477294,3.7
0.37624294544477294,2.99
0.37624294544477294,4.78
0.37624294544477294,2.86
0.37624294544477294,4.55
0.37624294544477294,2.61
0.37624294544477294,4.91
0.3459005885437911,2.95
0.3459005885437911,2.86
0.3459005885437911,2.58
0.3459005885437911,2.5300000000000002
0.3459005885437911,3.52
0.3459005885437911,3.3000000000000003
0.3459005885437911,2.93
0.3459005885437911,2.61
0.3459005885437911,3.2
0.3459005885437911,3.04
0.32,2.61
0.32,2.46
0.32,2.59
0.32,3.17
0.32,3.17
0.32,3.0
0.32,2.66
0.32,2.47
0.32,3.41
0.32,2.5100000000000002
